name,smiles,smiles_cleaned
tegobuvir,Fc1ccccc1-c1nc2ccn(Cc3ccc(nn3)-c3ccc(cc3C(F)(F)F)C(F)(F)F)cc2n1,Fc1ccccc1-c1nc2ccn(Cc3ccc(nn3)-c3ccc(cc3C(F)(F)F)C(F)(F)F)cc2n1
CITCO,"Clc1ccc(cc1)-c1nc2sccn2c1\C=N\OCc1ccc(Cl)c(Cl)c1, Clc1ccc(cc1)-c1nc2sccn2c1\C=N\OCc1ccc(Cl)c(Cl)c1",Clc1ccc(cc1)-c1nc2sccn2c1\C=N\OCc1ccc(Cl)c(Cl)c1
parecoxib,CCC(=O)NS(=O)(=O)c1ccc(cc1)-c1c(C)onc1-c1ccccc1,CCC(=O)NS(=O)(=O)c1ccc(cc1)-c1c(C)onc1-c1ccccc1
AZD8055,COc1ccc(cc1CO)-c1ccc2c(nc(nc2n1)N1CCOC[C@@H]1C)N1CCOC[C@@H]1C,COc1ccc(cc1CO)-c1ccc2c(nc(nc2n1)N1CCOC[C@@H]1C)N1CCOC[C@@H]1C
filanesib,"CON(C)C(=O)N1N=C(S[C@@]1(CCCN)c1ccccc1)c1cc(F)ccc1F, CON(C)C(=O)N1N=C(S[C@@]1(CCCN)c1ccccc1)c1cc(F)ccc1F",CON(C)C(=O)N1N=C(S[C@@]1(CCCN)c1ccccc1)c1cc(F)ccc1F
H-89,"Brc1ccc(\C=C\CNCCNS(=O)(=O)c2cccc3cnccc23)cc1, Brc1ccc(\C=C\CNCCNS(=O)(=O)c2cccc3cnccc23)cc1, Brc1ccc(\C=C\CNCCNS(=O)(=O)c2cccc3cnccc23)cc1",Brc1ccc(\C=C\CNCCNS(=O)(=O)c2cccc3cnccc23)cc1
sarpogrelate,"COc1cccc(CCc2ccccc2OCC(CN(C)C)OC(=O)CCC(O)=O)c1, COc1cccc(CCc2ccccc2OCC(CN(C)C)OC(=O)CCC(O)=O)c1",COc1cccc(CCc2ccccc2OCC(CN(C)C)OC(=O)CCC(O)=O)c1
oligomycin-a,CCC1CCC2OC3(CC[C@@H](C)C(C[C@H](C)O)O3)[C@H](C)C(OC(=O)\C=C\[C@@H](C)[C@H](O)[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@H](C)C(=O)[C@@](C)(O)[C@H](O)[C@@H](C)C\C=C\C=C\1)[C@H]2C,CCC1CCC2OC3(CC[C@@H](C)C(C[C@H](C)O)O3)[C@H](C)C(OC(=O)\C=C\[C@@H](C)[C@H](O)[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@H](C)C(=O)[C@@](C)(O)[C@H](O)[C@@H](C)C\C=C\C=C\1)[C@H]2C
oxiracetam,NC(=O)CN1C[C@H](O)CC1=O,NC(=O)CN1C[C@H](O)CC1=O
BIX-02189,"CN(C)Cc1cccc(N\C(c2ccccc2)=C2/C(=O)Nc3cc(ccc23)C(=O)N(C)C)c1, CN(C)Cc1cccc(N\C(c2ccccc2)=C2/C(=O)Nc3cc(ccc23)C(=O)N(C)C)c1",CN(C)Cc1cccc(N\C(c2ccccc2)=C2/C(=O)Nc3cc(ccc23)C(=O)N(C)C)c1
limaprost-alfadex,"CCCC[C@H](C)C[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1CCCC\C=C\C(O)=O, CCCC[C@H](C)C[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1CCCC\C=C\C(O)=O",CCCC[C@H](C)C[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1CCCC\C=C\C(O)=O
PHT-427,"CCCCCCCCCCCCc1ccc(cc1)S(=O)(=O)Nc1nncs1, CCCCCCCCCCCCc1ccc(cc1)S(=O)(=O)Nc1nncs1, CCCCCCCCCCCCc1ccc(cc1)S(=O)(=O)Nc1nncs1",CCCCCCCCCCCCc1ccc(cc1)S(=O)(=O)Nc1nncs1
telotristat-ethyl,"CCOC(=O)[C@@H](N)Cc1ccc(cc1)-c1cc(O[C@H](c2ccc(Cl)cc2-n2ccc(C)n2)C(F)(F)F)nc(N)n1, CCOC(=O)[C@@H](N)Cc1ccc(cc1)-c1cc(O[C@H](c2ccc(Cl)cc2-n2ccc(C)n2)C(F)(F)F)nc(N)n1, CCOC(=O)[C@@H](N)Cc1ccc(cc1)-c1cc(O[C@H](c2ccc(Cl)cc2-n2ccc(C)n2)C(F)(F)F)nc(N)n1",CCOC(=O)[C@@H](N)Cc1ccc(cc1)-c1cc(O[C@H](c2ccc(Cl)cc2-n2ccc(C)n2)C(F)(F)F)nc(N)n1
KU-60019,"C[C@H]1CN(CC(=O)Nc2ccc3Sc4c(Cc3c2)cccc4-c2cc(=O)cc(o2)N2CCOCC2)C[C@@H](C)O1, C[C@H]1CN(CC(=O)Nc2ccc3Sc4c(Cc3c2)cccc4-c2cc(=O)cc(o2)N2CCOCC2)C[C@@H](C)O1, C[C@H]1CN(CC(=O)Nc2ccc3Sc4c(Cc3c2)cccc4-c2cc(=O)cc(o2)N2CCOCC2)C[C@@H](C)O1",C[C@H]1CN(CC(=O)Nc2ccc3Sc4c(Cc3c2)cccc4-c2cc(=O)cc(o2)N2CCOCC2)C[C@@H](C)O1
bardoxolone,CC1(C)CC[C@@]2(CC[C@]3(C)[C@@H]([C@@H]2C1)C(=O)C=C1[C@@]2(C)C=C(C#N)C(=O)C(C)(C)[C@@H]2CC[C@@]31C)C(O)=O,CC1(C)CC[C@@]2(CC[C@]3(C)[C@@H]([C@@H]2C1)C(=O)C=C1[C@@]2(C)C=C(C#N)C(=O)C(C)(C)[C@@H]2CC[C@@]31C)C(O)=O
TWS-119,"Nc1cccc(c1)-c1cc2c(Oc3cccc(O)c3)ncnc2[nH]1, Nc1cccc(c1)-c1cc2c(Oc3cccc(O)c3)ncnc2[nH]1",Nc1cccc(c1)-c1cc2c(Oc3cccc(O)c3)ncnc2[nH]1
epothilone-d,C[C@H]1CCC\C(C)=C/C[C@H](OC(=O)C[C@H](O)C(C)(C)C(=O)[C@H](C)[C@H]1O)C(\C)=C\c1csc(C)n1,C[C@H]1CCC\C(C)=C/C[C@H](OC(=O)C[C@H](O)C(C)(C)C(=O)[C@H](C)[C@H]1O)C(\C)=C\c1csc(C)n1
TGX-221,"CC(Nc1ccccc1)c1cc(C)cn2c1nc(cc2=O)N1CCOCC1, CC(Nc1ccccc1)c1cc(C)cn2c1nc(cc2=O)N1CCOCC1",CC(Nc1ccccc1)c1cc(C)cn2c1nc(cc2=O)N1CCOCC1
ADD-233089,Clc1ccc(cc1)N1CC(=NC1=O)N1CCOCC1,Clc1ccc(cc1)N1CC(=NC1=O)N1CCOCC1
PLX-4720,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(Cl)cc23)c1F,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(Cl)cc23)c1F
bedaquiline,"COc1nc2ccc(Br)cc2cc1[C@@H](c1ccccc1)[C@@](O)(CCN(C)C)c1cccc2ccccc12, COc1nc2ccc(Br)cc2cc1[C@@H](c1ccccc1)[C@@](O)(CCN(C)C)c1cccc2ccccc12, COc1nc2ccc(Br)cc2cc1[C@@H](c1ccccc1)[C@@](O)(CCN(C)C)c1cccc2ccccc12",COc1nc2ccc(Br)cc2cc1[C@@H](c1ccccc1)[C@@](O)(CCN(C)C)c1cccc2ccccc12
WZ-3146,CN1CCN(CC1)c1ccc(Nc2ncc(Cl)c(Oc3cccc(NC(=O)C=C)c3)n2)cc1,CN1CCN(CC1)c1ccc(Nc2ncc(Cl)c(Oc3cccc(NC(=O)C=C)c3)n2)cc1
bicalutamide,"CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(c1)C(F)(F)F, CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(c1)C(F)(F)F, CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(c1)C(F)(F)F",CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(c1)C(F)(F)F
UK-383367,"NC(=O)c1noc(n1)[C@H](CCCC1CCCCC1)CC(=O)NO, NC(=O)c1noc(n1)[C@H](CCCC1CCCCC1)CC(=O)NO, NC(=O)c1noc(n1)[C@H](CCCC1CCCCC1)CC(=O)NO",NC(=O)c1noc(n1)[C@H](CCCC1CCCCC1)CC(=O)NO
GSK2110183,Cn1ncc(Cl)c1-c1cc(sc1Cl)C(=O)N[C@H](CN)Cc1cccc(F)c1,Cn1ncc(Cl)c1-c1cc(sc1Cl)C(=O)N[C@H](CN)Cc1cccc(F)c1
olanzapine,"CN1CCN(CC1)C1=Nc2ccccc2Nc2sc(C)cc12, CN1CCN(CC1)C1=Nc2ccccc2Nc2sc(C)cc12, CN1CCN(CC1)C1=Nc2ccccc2Nc2sc(C)cc12, CN1CCN(CC1)C1=Nc2ccccc2Nc2sc(C)cc12",CN1CCN(CC1)C1=Nc2ccccc2Nc2sc(C)cc12
GW-842166,FC(F)(F)c1nc(Nc2ccc(Cl)cc2Cl)ncc1C(=O)NCC1CCOCC1,FC(F)(F)c1nc(Nc2ccc(Cl)cc2Cl)ncc1C(=O)NCC1CCOCC1
estradiol,"C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O, C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O, C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O",C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O
ampalex,O=C(N1CCCCC1)c1ccc2nccnc2c1,O=C(N1CCCCC1)c1ccc2nccnc2c1
neostigmine,"CN(C)C(=O)Oc1cccc(c1)[N+](C)(C)C, CN(C)C(=O)Oc1cccc(c1)[N+](C)(C)C, CN(C)C(=O)Oc1cccc(c1)[N+](C)(C)C",CN(C)C(=O)Oc1cccc(c1)[N+](C)(C)C
troglitazone,"Cc1c(C)c2OC(C)(COc3ccc(CC4SC(=O)NC4=O)cc3)CCc2c(C)c1O, Cc1c(C)c2OC(C)(COc3ccc(CC4SC(=O)NC4=O)cc3)CCc2c(C)c1O",Cc1c(C)c2OC(C)(COc3ccc(CC4SC(=O)NC4=O)cc3)CCc2c(C)c1O
LY2801653,Cc1ccc(C(=O)Nc2ccc(Oc3cc4cnn(C)c4cc3-c3cn[nH]c3)c(F)c2)c(=O)n1-c1ccc(F)cc1,Cc1ccc(C(=O)Nc2ccc(Oc3cc4cnn(C)c4cc3-c3cn[nH]c3)c(F)c2)c(=O)n1-c1ccc(F)cc1
flutamide,"CC(C)C(=O)Nc1ccc(c(c1)C(F)(F)F)[N+]([O-])=O, CC(C)C(=O)Nc1ccc(c(c1)C(F)(F)F)[N+]([O-])=O, CC(C)C(=O)Nc1ccc(c(c1)C(F)(F)F)[N+]([O-])=O",CC(C)C(=O)Nc1ccc(c(c1)C(F)(F)F)[N+]([O-])=O
mubritinib,"FC(F)(F)c1ccc(\C=C\c2nc(COc3ccc(CCCCn4ccnn4)cc3)co2)cc1, FC(F)(F)c1ccc(\C=C\c2nc(COc3ccc(CCCCn4ccnn4)cc3)co2)cc1, FC(F)(F)c1ccc(\C=C\c2nc(COc3ccc(CCCCn4ccnn4)cc3)co2)cc1",FC(F)(F)c1ccc(\C=C\c2nc(COc3ccc(CCCCn4ccnn4)cc3)co2)cc1
AZD4547,COc1cc(CCc2cc(NC(=O)c3ccc(cc3)N3C[C@H](C)N[C@H](C)C3)n[nH]2)cc(OC)c1,COc1cc(CCc2cc(NC(=O)c3ccc(cc3)N3C[C@H](C)N[C@H](C)C3)n[nH]2)cc(OC)c1
darapladib,CCN(CC)CCN(Cc1ccc(cc1)-c1ccc(cc1)C(F)(F)F)C(=O)Cn1c2CCCc2c(=O)nc1SCc1ccc(F)cc1,CCN(CC)CCN(Cc1ccc(cc1)-c1ccc(cc1)C(F)(F)F)C(=O)Cn1c2CCCc2c(=O)nc1SCc1ccc(F)cc1
mifobate,COP(=O)(OC)OC(c1ccc(Cl)cc1)P(=O)(OC)OC,COP(=O)(OC)OC(c1ccc(Cl)cc1)P(=O)(OC)OC
colchicine,"COc1cc2CC[C@H](NC(C)=O)c3cc(=O)c(OC)ccc3-c2c(OC)c1OC, COc1cc2CC[C@H](NC(C)=O)c3cc(=O)c(OC)ccc3-c2c(OC)c1OC",COc1cc2CC[C@H](NC(C)=O)c3cc(=O)c(OC)ccc3-c2c(OC)c1OC
floxuridine,"OC[C@H]1OC(C[C@H]1O)n1cc(F)c(=O)[nH]c1=O, OC[C@H]1O[C@H](C[C@@H]1O)n1cc(F)c(=O)[nH]c1=O",OC[C@H]1O[C@H](C[C@@H]1O)n1cc(F)c(=O)[nH]c1=O
raltegravir,"Cc1nnc(o1)C(=O)NC(C)(C)c1nc(C(=O)NCc2ccc(F)cc2)c(O)c(=O)n1C, Cc1nnc(o1)C(=O)NC(C)(C)c1nc(C(=O)NCc2ccc(F)cc2)c(O)c(=O)n1C",Cc1nnc(o1)C(=O)NC(C)(C)c1nc(C(=O)NCc2ccc(F)cc2)c(O)c(=O)n1C
diazoxide,"CC1=Nc2ccc(Cl)cc2S(=O)(=O)N1, CC1=Nc2ccc(Cl)cc2S(=O)(=O)N1, CC1=Nc2ccc(Cl)cc2S(=O)(=O)N1",CC1=Nc2ccc(Cl)cc2S(=O)(=O)N1
BMY-14802,OC(CCCN1CCN(CC1)c1ncc(F)cn1)c1ccc(F)cc1,OC(CCCN1CCN(CC1)c1ncc(F)cn1)c1ccc(F)cc1
GSK2816126,"CC[C@H](C)n1cc(C)c2c(cc(cc12)-c1ccc(nc1)N1CCNCC1)C(=O)NCc1c(C)cc(C)[nH]c1=O, CC[C@H](C)n1cc(C)c2c(cc(cc12)-c1ccc(nc1)N1CCNCC1)C(=O)NCc1c(C)cc(C)[nH]c1=O",CC[C@H](C)n1cc(C)c2c(cc(cc12)-c1ccc(nc1)N1CCNCC1)C(=O)NCc1c(C)cc(C)[nH]c1=O
WZ8040,CN1CCN(CC1)c1ccc(Nc2ncc(Cl)c(Sc3cccc(NC(=O)C=C)c3)n2)cc1,CN1CCN(CC1)c1ccc(Nc2ncc(Cl)c(Sc3cccc(NC(=O)C=C)c3)n2)cc1
asunaprevir,COc1cnc(O[C@@H]2C[C@H](N(C2)C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C)C(=O)N[C@@]2(C[C@H]2C=C)C(=O)NS(=O)(=O)C2CC2)c2cc(Cl)ccc12,COc1cnc(O[C@@H]2C[C@H](N(C2)C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C)C(=O)N[C@@]2(C[C@H]2C=C)C(=O)NS(=O)(=O)C2CC2)c2cc(Cl)ccc12
CYC116,"Cc1nc(N)sc1-c1ccnc(Nc2ccc(cc2)N2CCOCC2)n1, Cc1nc(N)sc1-c1ccnc(Nc2ccc(cc2)N2CCOCC2)n1",Cc1nc(N)sc1-c1ccnc(Nc2ccc(cc2)N2CCOCC2)n1
pronethalol,"CC(C)NCC(O)c1ccc2ccccc2c1, CC(C)NCC(O)c1ccc2ccccc2c1",CC(C)NCC(O)c1ccc2ccccc2c1
XAV-939,"Oc1nc(nc2CCSCc12)-c1ccc(cc1)C(F)(F)F, Oc1nc(nc2CCSCc12)-c1ccc(cc1)C(F)(F)F, Oc1nc(nc2CCSCc12)-c1ccc(cc1)C(F)(F)F",Oc1nc(nc2CCSCc12)-c1ccc(cc1)C(F)(F)F
propranolol-(S),"CC(C)NC[C@H](O)COc1cccc2ccccc12, CC(C)NC[C@H](O)COc1cccc2ccccc12",CC(C)NC[C@H](O)COc1cccc2ccccc12
mocetinostat,"Nc1ccccc1NC(=O)c1ccc(CNc2nccc(n2)-c2cccnc2)cc1, Nc1ccccc1NC(=O)c1ccc(CNc2nccc(n2)-c2cccnc2)cc1, Nc1ccccc1NC(=O)c1ccc(CNc2nccc(n2)-c2cccnc2)cc1",Nc1ccccc1NC(=O)c1ccc(CNc2nccc(n2)-c2cccnc2)cc1
propranolol-(R),CC(C)NC[C@@H](O)COc1cccc2ccccc12,CC(C)NC[C@@H](O)COc1cccc2ccccc12
SNS-314,"Clc1cccc(NC(=O)Nc2ncc(CCNc3ncnc4ccsc34)s2)c1, Clc1cccc(NC(=O)Nc2ncc(CCNc3ncnc4ccsc34)s2)c1",Clc1cccc(NC(=O)Nc2ncc(CCNc3ncnc4ccsc34)s2)c1
ditolylguanidine,Cc1ccccc1NC(=N)Nc1ccccc1C,Cc1ccccc1NC(=N)Nc1ccccc1C
serdemetan,"C(Cc1c[nH]c2ccccc12)Nc1ccc(Nc2ccncc2)cc1, C(Cc1c[nH]c2ccccc12)Nc1ccc(Nc2ccncc2)cc1",C(Cc1c[nH]c2ccccc12)Nc1ccc(Nc2ccncc2)cc1
MTPG,CC(N)(C(O)=O)c1ccc(cc1)-c1nnn[nH]1,CC(N)(C(O)=O)c1ccc(cc1)-c1nnn[nH]1
raltitrexed,"CN(Cc1ccc2[nH]c(C)nc(=O)c2c1)c1ccc(s1)C(=O)N[C@@H](CCC(O)=O)C(O)=O, CN(Cc1ccc2[nH]c(C)nc(=O)c2c1)c1ccc(s1)C(=O)N[C@@H](CCC(O)=O)C(O)=O",CN(Cc1ccc2[nH]c(C)nc(=O)c2c1)c1ccc(s1)C(=O)N[C@@H](CCC(O)=O)C(O)=O
GR46611,"COc1ccc(CNC(=O)\C=C\c2ccc3[nH]cc(CCN(C)C)c3c2)cc1, COc1ccc(CNC(=O)\C=C\c2ccc3[nH]cc(CCN(C)C)c3c2)cc1",COc1ccc(CNC(=O)\C=C\c2ccc3[nH]cc(CCN(C)C)c3c2)cc1
abiraterone,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@]34C)[C@@H]1CC=C2c1cccnc1,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@]34C)[C@@H]1CC=C2c1cccnc1
"L-732,138","CC(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)OCc1cc(cc(c1)C(F)(F)F)C(F)(F)F, CC(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)OCc1cc(cc(c1)C(F)(F)F)C(F)(F)F",CC(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)OCc1cc(cc(c1)C(F)(F)F)C(F)(F)F
WZ-4002,"COc1cc(ccc1Nc1ncc(Cl)c(Oc2cccc(NC(=O)C=C)c2)n1)N1CCN(C)CC1, COc1cc(ccc1Nc1ncc(Cl)c(Oc2cccc(NC(=O)C=C)c2)n1)N1CCN(C)CC1",COc1cc(ccc1Nc1ncc(Cl)c(Oc2cccc(NC(=O)C=C)c2)n1)N1CCN(C)CC1
PD-102807,"CCOC(=O)c1c(C)[nH]c2ccc3OC4N(CCc5cc(OC)ccc45)Cc3c12, CCOC(=O)c1c(C)[nH]c2ccc3OC4N(CCc5cc(OC)ccc45)Cc3c12",CCOC(=O)c1c(C)[nH]c2ccc3OC4N(CCc5cc(OC)ccc45)Cc3c12
danoprevir,CC(C)(C)OC(=O)N[C@H]1CCCCC\C=C/[C@@H]2C[C@]2(NC(=O)[C@@H]2C[C@H](CN2C1=O)OC(=O)N1Cc2cccc(F)c2C1)C(=O)NS(=O)(=O)C1CC1,CC(C)(C)OC(=O)N[C@H]1CCCCC\C=C/[C@@H]2C[C@]2(NC(=O)[C@@H]2C[C@H](CN2C1=O)OC(=O)N1Cc2cccc(F)c2C1)C(=O)NS(=O)(=O)C1CC1
seocalcitol,"CCC(O)(CC)\C=C\C=C\[C@@H](C)[C@H]1CC[C@@H]2[C@]1(C)CCC\C2=C/C=C1/C[C@@H](O)C[C@H](O)C1=C, CCC(O)(CC)\C=C\C=C\[C@@H](C)[C@H]1CC[C@@H]2[C@]1(C)CCC\C2=C/C=C1/C[C@@H](O)C[C@H](O)C1=C",CCC(O)(CC)\C=C\C=C\[C@@H](C)[C@H]1CC[C@@H]2[C@]1(C)CCC\C2=C/C=C1/C[C@@H](O)C[C@H](O)C1=C
deferiprone,"Cc1c(O)c(=O)ccn1C, Cc1c(O)c(=O)ccn1C",Cc1c(O)c(=O)ccn1C
resminostat,"CN(C)Cc1ccc(cc1)S(=O)(=O)n1ccc(c1)\C=C\C(=O)NO, CN(C)Cc1ccc(cc1)S(=O)(=O)n1ccc(c1)\C=C\C(=O)NO",CN(C)Cc1ccc(cc1)S(=O)(=O)n1ccc(c1)\C=C\C(=O)NO
CNQX,"[O-][N+](=O)c1cc2[nH]c(=O)c(=O)[nH]c2cc1C#N, [O-][N+](=O)c1cc2[nH]c(=O)c(=O)[nH]c2cc1C#N",[O-][N+](=O)c1cc2[nH]c(=O)c(=O)[nH]c2cc1C#N
nicotinamide,"NC(=O)c1cccnc1, NC(=O)c1cccnc1, NC(=O)c1cccnc1",NC(=O)c1cccnc1
piracetam,"NC(=O)CN1CCCC1=O, NC(=O)CN1CCCC1=O",NC(=O)CN1CCCC1=O
ketotifen,"CN1CCC(CC1)=C1c2ccsc2C(=O)Cc2ccccc12, CN1CCC(CC1)=C1c2ccsc2C(=O)Cc2ccccc12, CN1CCC(CC1)=C1c2ccsc2C(=O)Cc2ccccc12",CN1CCC(CC1)=C1c2ccsc2C(=O)Cc2ccccc12
buflomedil,"COc1cc(OC)c(C(=O)CCCN2CCCC2)c(OC)c1, COc1cc(OC)c(C(=O)CCCN2CCCC2)c(OC)c1",COc1cc(OC)c(C(=O)CCCN2CCCC2)c(OC)c1
BVD-523,CC(C)Nc1cc(-c2c[nH]c(c2)C(=O)N[C@H](CO)c2cccc(Cl)c2)c(Cl)cn1,CC(C)Nc1cc(-c2c[nH]c(c2)C(=O)N[C@H](CO)c2cccc(Cl)c2)c(Cl)cn1
SGX523,Cn1cc(cn1)-c1ccc2nnc(Sc3ccc4ncccc4c3)n2n1,Cn1cc(cn1)-c1ccc2nnc(Sc3ccc4ncccc4c3)n2n1
temozolomide,"Cn1nnc2c(ncn2c1=O)C(N)=O, Cn1nnc2c(ncn2c1=O)C(N)=O, Cn1nnc2c(ncn2c1=O)C(N)=O, Cn1nnc2c(ncn2c1=O)C(N)=O",Cn1nnc2c(ncn2c1=O)C(N)=O
celecoxib,"Cc1ccc(cc1)-c1cc(nn1-c1ccc(cc1)S(N)(=O)=O)C(F)(F)F, Cc1ccc(cc1)-c1cc(nn1-c1ccc(cc1)S(N)(=O)=O)C(F)(F)F, Cc1ccc(cc1)-c1cc(nn1-c1ccc(cc1)S(N)(=O)=O)C(F)(F)F",Cc1ccc(cc1)-c1cc(nn1-c1ccc(cc1)S(N)(=O)=O)C(F)(F)F
chlorambucil,OC(=O)CCCc1ccc(cc1)N(CCCl)CCCl,OC(=O)CCCc1ccc(cc1)N(CCCl)CCCl
ruxolitinib,N#CC[C@H](C1CCCC1)n1cc(cn1)-c1ncnc2[nH]ccc12,N#CC[C@H](C1CCCC1)n1cc(cn1)-c1ncnc2[nH]ccc12
duloxetine,"CNCC[C@H](Oc1cccc2ccccc12)c1cccs1, CNCC[C@H](Oc1cccc2ccccc12)c1cccs1, CNCC[C@H](Oc1cccc2ccccc12)c1cccs1",CNCC[C@H](Oc1cccc2ccccc12)c1cccs1
anamorelin,CN(C)N(C)C(=O)[C@@]1(Cc2ccccc2)CCCN(C1)C(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)C(C)(C)N,CN(C)N(C)C(=O)[C@@]1(Cc2ccccc2)CCCN(C1)C(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)C(C)(C)N
levamisole,"C1CN2C[C@@H](N=C2S1)c1ccccc1, C1CN2C[C@@H](N=C2S1)c1ccccc1",C1CN2C[C@@H](N=C2S1)c1ccccc1
foretinib,COc1cc2c(Oc3ccc(NC(=O)C4(CC4)C(=O)Nc4ccc(F)cc4)cc3F)ccnc2cc1OCCCN1CCOCC1,COc1cc2c(Oc3ccc(NC(=O)C4(CC4)C(=O)Nc4ccc(F)cc4)cc3F)ccnc2cc1OCCCN1CCOCC1
dihydroergotamine,"CN1C[C@@H](C[C@H]2[C@H]1Cc1c[nH]c3cccc2c13)C(=O)N[C@]1(C)O[C@@]2(O)[C@@H]3CCCN3C(=O)[C@H](Cc3ccccc3)N2C1=O, CN1C[C@@H](C[C@H]2[C@H]1Cc1c[nH]c3cccc2c13)C(=O)N[C@]1(C)O[C@@]2(O)[C@@H]3CCCN3C(=O)[C@H](Cc3ccccc3)N2C1=O, CN1C[C@@H](C[C@H]2[C@H]1Cc1c[nH]c3cccc2c13)C(=O)N[C@]1(C)O[C@@]2(O)[C@@H]3CCCN3C(=O)[C@H](Cc3ccccc3)N2C1=O",CN1C[C@@H](C[C@H]2[C@H]1Cc1c[nH]c3cccc2c13)C(=O)N[C@]1(C)O[C@@]2(O)[C@@H]3CCCN3C(=O)[C@H](Cc3ccccc3)N2C1=O
rimonabant,Cc1c(nn(c1-c1ccc(Cl)cc1)-c1ccc(Cl)cc1Cl)C(=O)NN1CCCCC1,Cc1c(nn(c1-c1ccc(Cl)cc1)-c1ccc(Cl)cc1Cl)C(=O)NN1CCCCC1
RU-28318,CCC[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]3(O)CCC(O)=O)[C@H]12,CCC[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]3(O)CCC(O)=O)[C@H]12
BMS-754807,"C[C@]1(CCCN1c1nc(Nc2cc(n[nH]2)C2CC2)c2cccn2n1)C(=O)Nc1ccc(F)nc1, C[C@]1(CCCN1c1nc(Nc2cc(n[nH]2)C2CC2)c2cccn2n1)C(=O)Nc1ccc(F)nc1, C[C@]1(CCCN1c1nc(Nc2cc(n[nH]2)C2CC2)c2cccn2n1)C(=O)Nc1ccc(F)nc1",C[C@]1(CCCN1c1nc(Nc2cc(n[nH]2)C2CC2)c2cccn2n1)C(=O)Nc1ccc(F)nc1
T-0156,"COC(=O)c1c(-c2cc(OC)c(OC)c(OC)c2)c2ccnc(OCc3ncccn3)c2c(=O)n1Cc1ccnc(C)c1, COC(=O)c1c(-c2cc(OC)c(OC)c(OC)c2)c2ccnc(OCc3ncccn3)c2c(=O)n1Cc1ccnc(C)c1",COC(=O)c1c(-c2cc(OC)c(OC)c(OC)c2)c2ccnc(OCc3ncccn3)c2c(=O)n1Cc1ccnc(C)c1
barasertib-HQPA,"CCN(CCO)CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1, CCN(CCO)CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1",CCN(CCO)CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1
GW-7647,"CC(C)(Sc1ccc(CCN(CCCCC2CCCCC2)C(=O)NC2CCCCC2)cc1)C(O)=O, CC(C)(Sc1ccc(CCN(CCCCC2CCCCC2)C(=O)NC2CCCCC2)cc1)C(O)=O",CC(C)(Sc1ccc(CCN(CCCCC2CCCCC2)C(=O)NC2CCCCC2)cc1)C(O)=O
CUDC-101,COc1cc2ncnc(Nc3cccc(c3)C#C)c2cc1OCCCCCCC(=O)NO,COc1cc2ncnc(Nc3cccc(c3)C#C)c2cc1OCCCCCCC(=O)NO
NECA,"CCNC(=O)[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c(N)ncnc12, CCNC(=O)[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c(N)ncnc12",CCNC(=O)[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c(N)ncnc12
